evalue	f1	accuracy	precision	recall	TP	FP	TN	FN	MCC
0.01	0.995475113122172	0.999994580024137	0.993975903614458	0.9969788519637462	330	2	553175	1	0.9954735352036852
0.001	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
0.0001	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
1e-05	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
1e-06	0.996969696969697	0.999996386682758	1.0	0.9939577039274924	329	0	553177	2	0.9969724721911675
1e-07	0.9939209726443768	0.999992773365516	1.0	0.9879154078549848	327	0	553177	4	0.9939357445686311
1e-08	0.9939209726443768	0.999992773365516	1.0	0.9879154078549848	327	0	553177	4	0.9939357445686311
1e-09	0.9939209726443768	0.999992773365516	1.0	0.9879154078549848	327	0	553177	4	0.9939357445686311
1e-10	0.9923896499238966	0.9999909667068948	1.0	0.9848942598187312	326	0	553177	5	0.9924139044456901
1e-11	0.9923896499238966	0.9999909667068948	1.0	0.9848942598187312	326	0	553177	5	0.9924139044456901
1e-12	0.9908536585365856	0.999989160048274	1.0	0.9818731117824774	325	0	553177	6	0.9908897325495998
1e-13	0.9846625766871164	0.9999819334137898	1.0	0.9697885196374624	321	0	553177	10	0.9847695104453232
1e-14	0.9831029185867896	0.9999801267551688	1.0	0.9667673716012084	320	0	553177	11	0.9832335163543802
1e-15	0.978395061728395	0.9999747067793058	1.0	0.9577039274924471	317	0	553177	14	0.9786111026320352
1e-16	0.9752321981424148	0.9999710934620638	1.0	0.9516616314199396	315	0	553177	16	0.9755173532605832
1e-17	0.959119496855346	0.9999530268758536	1.0	0.9214501510574018	305	0	553177	26	0.9598993925414403
1e-18	0.9147540983606556	0.9999060537517072	1.0	0.8429003021148036	279	0	553177	52	0.9180528714941326
1e-19	0.8929765886287626	0.9998843738482552	1.0	0.8066465256797583	267	0	553177	64	0.8980830759085451
