evalue	f1	accuracy	precision	recall	TP	FP	TN	FN	MCC
0.01	0.995475113122172	0.999994580024137	0.993975903614458	0.9969788519637462	330	2	553175	1	0.9954735352036852
0.001	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
0.0001	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
1e-05	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
1e-06	0.9984871406959154	0.999998193341379	1.0	0.9969788519637462	330	0	553177	1	0.9984873808360308
1e-07	0.9954476479514416	0.999994580024137	1.0	0.9909365558912386	328	0	553177	3	0.9954552636128132
1e-08	0.9939209726443768	0.999992773365516	1.0	0.9879154078549848	327	0	553177	4	0.9939357445686311
1e-09	0.9939209726443768	0.999992773365516	1.0	0.9879154078549848	327	0	553177	4	0.9939357445686311
1e-10	0.9923896499238966	0.9999909667068948	1.0	0.9848942598187312	326	0	553177	5	0.9924139044456901
1e-11	0.9923896499238966	0.9999909667068948	1.0	0.9848942598187312	326	0	553177	5	0.9924139044456901
1e-12	0.9908536585365856	0.999989160048274	1.0	0.9818731117824774	325	0	553177	6	0.9908897325495998
1e-13	0.9877675840978594	0.999985546731032	1.0	0.9758308157099698	323	0	553177	8	0.9878343502478286
1e-14	0.9846625766871164	0.9999819334137898	1.0	0.9697885196374624	321	0	553177	10	0.9847695104453232
1e-15	0.9831029185867896	0.9999801267551688	1.0	0.9667673716012084	320	0	553177	11	0.9832335163543802
1e-16	0.9768160741885626	0.9999729001206848	1.0	0.9546827794561934	316	0	553177	15	0.9770654496446683
1e-17	0.967238689547582	0.9999620601689588	1.0	0.9365558912386708	310	0	553177	21	0.9677398093261492
1e-18	0.9339774557165862	0.9999259269965384	1.0	0.8761329305135952	290	0	553177	41	0.9359850419190514
1e-19	0.8966666666666667	0.9998879871654972	1.0	0.8126888217522659	269	0	553177	62	0.9014420369118129
